"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
3765,0.221504777669907,0.219449609518051,1.14153173726241,1.05009092709845,0.00011395074398024
3780,0.221743211150169,0.219728708267212,1.14301420427876,1.05146495337754,0.000114775102701969
3795,0.221966668963432,0.219986453652382,1.14438565368111,1.05273498911768,0.00011560052371351
3810,0.222177267074585,0.220226302742958,1.14566408122379,1.05391821632266,0.000116427028842736
3825,0.222376629710197,0.220450833439827,1.14686282902518,1.0550271379306,0.000117254632641561
3840,0.222566097974777,0.220662012696266,1.14799227240479,1.05607150199497,0.000118083313282114
3855,0.222746774554253,0.220861494541168,1.14906073535262,1.05705915781793,0.000118913056212477
3870,0.222919553518295,0.221050575375557,1.15007510931861,1.0579965306382,0.000119743832328822
3885,0.223085209727287,0.221230417490005,1.15104126856456,1.05888918956109,0.000120575612527318
3900,0.223244398832321,0.221401989459991,1.1519643498908,1.05974168650375,0.000121408331324346
3915,0.223397687077522,0.221566125750542,1.152848659394,1.06055829365656,0.000122241923236288
3930,0.223545536398888,0.221723586320877,1.15369818953778,1.06134248641249,0.000123076359159313
3945,0.223688378930092,0.221875011920929,1.15451620380091,1.06209751977373,0.0001239115226781
3960,0.223826587200165,0.222020998597145,1.15530578765423,1.06282610624212,0.000124747370136902
3975,0.22396045923233,0.222162067890167,1.15606964512299,1.06353086507723,0.000125583828776143
3990,0.224090322852135,0.22229865193367,1.15681014116973,1.06421393237427,0.000126420825836249
4005,0.224216401576996,0.222431197762489,1.1575295051319,1.06487739336901,0.000127258288557641
4020,0.224338933825493,0.222560048103333,1.15822957642479,1.06552299423451,0.00012809615873266
4035,0.224458128213882,0.222685530781746,1.1589121436043,1.06615225227647,0.000128934378153645
4050,0.22457417845726,0.222807958722115,1.15957858835105,1.06676660003493,0.000129772903164849
4065,0.224687248468399,0.222927555441856,1.1602302584394,1.0673673683311,0.000130611675558612
4080,0.224797487258911,0.223044589161873,1.16086849316711,1.06795548958748,0.000131450666231103
4095,0.224905043840408,0.223159223794937,1.16149415714414,1.06853208271108,0.000132289875182323
4110,0.22501003742218,0.223271638154984,1.16210820822272,1.06909797840559,0.000133129244204611
4125,0.225112587213516,0.223382011055946,1.16271148558308,1.06965378698391,0.000133968787849881
4140,0.225212812423706,0.223490461707115,1.16330466735069,1.07020032219659,0.000134808491566218
4155,0.225310802459717,0.223597124218941,1.16388828754935,1.07073798244235,0.000135648369905539
4170,0.225406646728516,0.223702073097229,1.16446300735137,1.07126742041693,0.000136488422867842
4185,0.225500449538231,0.223805412650108,1.16502907257724,1.07178889041738,0.000137328665005043
4200,0.225592270493507,0.223907217383385,1.16558707658673,1.0723029010378,0.000138169125420973
4215,0.225682199001312,0.224007532000542,1.16613717195806,1.07280961333297,0.000139009818667546
4230,0.22577029466629,0.224106445908546,1.16667967232428,1.07330933245937,0.000139850759296678
4245,0.225856631994247,0.22420397400856,1.16721487436525,1.07380227033118,0.000140691990964115
4260,0.225941255688667,0.224300175905228,1.16774291370607,1.07428858800322,0.000141533528221771
4275,0.226024240255356,0.22439506649971,1.168263883589,1.07476850586625,0.000142375414725393
4290,0.226105630397797,0.22448867559433,1.16877801288137,1.07524203239684,0.00014321765047498
4305,0.226185485720634,0.224581032991409,1.16928536091916,1.07570931169664,0.000144060264574364
4320,0.226263836026192,0.22467215359211,1.16978594465552,1.07617042005479,0.000144903271575458
4335,0.218140438199043,0.199087232351303,1.20462942930917,1.10341119438097,0.000145746700582094
4350,0.219373017549515,0.208786055445671,1.26442894799672,1.15907274066583,0.000146590551594272
4365,0.2201247215271,0.214460879564285,1.30050525625602,1.19439427833751,0.000147434839163907
4380,0.220677569508553,0.21710367500782,1.31731140900714,1.21098825410946,0.000148279548739083
4395,0.221120521426201,0.218399256467819,1.32547308967287,1.2189613735151,0.000149124680319801
4410,0.221493363380432,0.21914704144001,1.33013600746898,1.22344132458613,0.000149970248457976
4425,0.221817404031754,0.219658643007278,1.33330463343606,1.22644186020537,0.000150816253153607
4440,0.222105383872986,0.220055535435677,1.33575558227806,1.22874046816328,0.000151662708958611
4455,0.222365573048592,0.220388248562813,1.3378091496018,1.23065578265932,0.000152509674080648
4470,0.222603619098663,0.220679849386215,1.33961077636485,1.23233062539148,0.000153357148519717
4485,0.222823560237885,0.220942169427872,1.34123357296812,1.23383643687671,0.000154205190483481
4500,0.223028406500816,0.221181884407997,1.34271927803353,1.23521332823586,0.000155053829075769
4515,0.223220407962799,0.221403300762177,1.34409380443015,1.23648622057949,0.000155903107952327
4530,0.223401367664337,0.221609354019165,1.34537524115455,1.23767223657542,0.000156753012561239
4545,0.223572686314583,0.221802264451981,1.34657692184855,1.23878393849774,0.000157603601110168
4560,0.223735526204109,0.22198374569416,1.34770916249567,1.23983100658737,0.000158454844495282
4575,0.22389081120491,0.222155168652534,1.348780422711,1.2408212308105,0.000159306742716581
4590,0.224039316177368,0.222317695617676,1.34979763632735,1.24176123136691,0.000160159266670235
4605,0.224181726574898,0.222472280263901,1.35076657588768,1.2426563739243,0.000161012387252413
4620,0.224318578839302,0.222619757056236,1.3516922256141,1.24351142231399,0.000161866075359285
4635,0.224450349807739,0.222760856151581,1.35257923914256,1.24433043681217,0.00016272024367936
4650,0.224577471613884,0.222896233201027,1.35343126139739,1.24511704539004,0.000163574863108806
4665,0.224700286984444,0.223026424646378,1.35425176777158,1.245874341995,0.000164429860888049
4680,0.224819108843803,0.223151952028275,1.35504389459537,1.24660525104308,0.000165285178809427
4695,0.224934220314026,0.223273232579231,1.35581023569862,1.24731227312192,0.000166140744113363
4710,0.225045889616013,0.223390698432922,1.35655306280162,1.24799758670953,0.000166996484040283
4725,0.225154310464859,0.223504662513733,1.35727476629661,1.24866316684633,0.000167852354934439
4740,0.225259676575661,0.22361546754837,1.3579771601692,1.24931087837731,0.000168708284036256
4755,0.225362181663513,0.223723381757736,1.35866192277988,1.24994223860819,0.000169564242241904
4770,0.22546198964119,0.223828658461571,1.35933054600466,1.25055861226646,0.000170420171343721
4785,0.225559219717979,0.223931521177292,1.35998439457104,1.25116133864989,0.000171276027685963
4800,0.225654035806656,0.224032163619995,1.36062467215169,1.25175148580607,0.000172131796716712
4815,0.225746527314186,0.224130749702454,1.36125243831765,1.25232996920439,0.000172987434780225
4830,0.225836828351021,0.224227428436279,1.36186859158514,1.25289767040792,0.000173842970980331
4845,0.225925028324127,0.224322348833084,1.36247375922022,1.25345536078439,0.000174698361661285
4860,0.226011216640472,0.224415615200996,1.36306896688763,1.2540037015061,0.000175553621375002
4875,0.226095497608185,0.224507331848145,1.36365453669698,1.25454315878432,0.000176408764673397
4890,0.226177930831909,0.224597588181496,1.3642310704846,1.25507433445539,0.00017726379155647
4905,0.226258605718613,0.224686443805695,1.36479901750862,1.25559753367576,0.000178118745679967
4920,0.22633758187294,0.224773988127708,1.36535881855057,1.25611312941443,0.000178973627043888
4935,0.226414933800697,0.224860265851021,1.36591066009496,1.25662149464041,0.000179828479303978
4950,0.226490691304207,0.224945306777954,1.36645495749363,1.25712285822104,0.000180683317012154
4965,0.226564958691597,0.225029170513153,1.36699188027795,1.25761731339857,0.000181538169272244
4980,0.226637735962868,0.22511188685894,1.36752158102615,1.2581052077123,0.000182393094291911
4995,0.226709112524986,0.225193485617638,1.36804420383988,1.2585866259279,0.000183248092071153
5010,0.226779118180275,0.225273981690407,1.36855990977394,1.25906159347508,0.000184103220817633
5025,0.226847797632217,0.225353389978409,1.3690687073049,1.25953037312747,0.000184958465979435
5040,0.226915195584297,0.225431740283966,1.36957086768294,1.25999291402564,0.000185813885764219
5055,0.219724982976913,0.202949866652489,1.40442132855224,1.28723219647582,0.000186669480171986
5070,0.220803663134575,0.21143613755703,1.46423283310725,1.34288865681975,0.000187525278306566
5085,0.221461594104767,0.216401517391205,1.50031644816836,1.37820780409918,0.000188381265616044
5100,0.221945524215698,0.218714162707329,1.51712690701614,1.39480159338664,0.000189237471204251
5115,0.222333282232285,0.219847992062569,1.52529101198038,1.40277530615205,0.000190093880519271
5130,0.222659707069397,0.220502480864525,1.52995573528552,1.40725636765352,0.000190950508113019
5145,0.222943410277367,0.220950320363045,1.53312587008175,1.41025803065633,0.000191807368537411
5160,0.223195567727089,0.221297770738602,1.53557802259643,1.41255785076349,0.000192664476344362
5175,0.223423406481743,0.221589058637619,1.53763296312423,1.41447429264311,0.000193521889741533
5190,0.223631858825684,0.221844404935837,1.53943592918506,1.41615019494629,0.000194379623280838
5205,0.223824471235275,0.222074091434479,1.54106009051581,1.41765720162765,0.000195237720618024
5220,0.224003866314888,0.222284004092216,1.54254684667569,1.41903522884694,0.000196096225408837
5235,0.224172025918961,0.222477898001671,1.54392259369812,1.42030917228503,0.000196955166757107
5250,0.224330514669418,0.22265836596489,1.54520521714207,1.42149630718796,0.000197814573766664
5265,0.22448056936264,0.222827330231667,1.54640810998533,1.42260906020474,0.000198674475541338
5280,0.224623188376427,0.22298626601696,1.54754154582857,1.42365711157628,0.000199534857529216
5295,0.224759206175804,0.223136410117149,1.54861400124002,1.42464831908133,0.000200395719730295
5310,0.224889308214188,0.223278760910034,1.54963213880231,1.42558929444309,0.000201257033040747
5325,0.225014045834541,0.223414167761803,1.5506021294571,1.42648535246984,0.000202118782908656
5340,0.225133925676346,0.223543345928192,1.55152897437963,1.42734143500086,0.000202980925678276
5355,0.225249364972115,0.223666951060295,1.55241703052598,1.42816135649184,0.000203843403141946
5370,0.225360721349716,0.223785534501076,1.55326997672676,1.42894887206251,0.000204706157092005
5385,0.225468307733536,0.223899587988853,1.55409152571884,1.42970699937115,0.000205569143872708
